"_id"	"shopid"	"cityid"	"shoptype"	"primarytag"	"adddate"	"promotitle"	"promoinfoid"	"promoinfotitle"	"structaddresss"	"shopcheckinall"	"shopcheckinlastmonth"	"hasshopproduct"	"haspromoshopproduct"	"hasactivity"	"piccount"	"nps"	"reviewmonth"	"defaultpic"	"hasdefaultpic"	"card"	"shopname"	"shopname_e"	"branchname"	"address"	"crossroad"	"altname"	"searchkeyword"	"phoneno"	"phoneno2"	"district"	"shopgroupid"	"promoid"	"region1"	"region2"	"region3"	"category1"	"category2"	"category3"	"category4"	"category5"	"power"	"shoptags"	"dishtags"	"dishtagssearch"	"shoptagssearch"	"votetotal"	"defaultvotetotal"	"pictotal"	"wishtotal"	"branchtotal"	"score"	"score1"	"score2"	"score3"	"score4"	"avgprice"	"avgpriceforasc"	"pricelevel"	"pricerange"	"hits"	"popularity"	"monthlyhits"	"shoppower"	"shopprice"	"smspromoid"	"mobilepromo"	"weddingstat"	"discount"	"dealgroupid"	"dealgrouptitle"	"hasgroup"	"DealGroup"	"ShopInc"	"ShopLog"	"membercardid"	"membercardtitle"	"MemberCardShop"	"MemberCard"	"MemberCardProduct"	"hasbooksetting"	"poitags"	"campaignid"	"campaigntitle"	"campaignbegintime"	"campaignendtime"	"haspromo"	"hascard"	"BookingInc"	"categoryname"	"monthlybill"	"hasmembercard"	"totalmembers"	"fullshopname"	"ShopProduct"	"quotedpriceinfo"	"auditstatus"	"regionids"	"categoryids"	"exttag"	"clienttype"	"hasticket"	"CpmShopPromo"	"maincategoryname"	"maincategorylength"	"maincategoryids"	"mainregionname"	"mainregiontype"	"mainregionids"	"regionname"	"mainaddress"	"structaddressdetail"	"structaddresstype"	"phone"	"shoppoi"	"poi"	"gpoi"	"mpoi"	"popularitynormalized"	"statusscorefactor"	"shopstarfactor"	"statusstarscorefactor"	"shoptagsnames"	"shoptagstimes"	"shoptagstotaltimes"	"dishtagsnames"	"dishtagstimes"	"dishtagstotaltimes"	"hasphone"	"hasnewmembercard"	"newmembercardid"	"newmembercardtitle"	"totalnewmembers"	"attribute"	"brand"
"502250"	"502250"	"1"	"10"	"供应早餐"	"2004-04-25 13:39"	""	"0"	""	""	"35"	"0"	"0"	"0"	"0"	"0"	"-0.331814"	"0"	"http://i2.dpfile.com/2007-12-12/272182_s.jpg"	"1"	""	"克莉丝汀"	"克莉丝汀"	""	"多家连锁店"	""	"Christine"	"502250儑克莉丝汀儑克莉丝汀儑克莉丝汀儑克莉丝汀儑克莉丝汀儑克莉丝汀儑christine儑christine儑christine儑christine儑christine儑christine儑儑儑多家连锁店儑儑儑儑供应早餐儑随便吃吃儑休闲小憩儑可以刷卡儑情侣约会儑是老字号儑朋友聚餐儑面包甜点儑家庭聚会儑早餐儑儑供应早餐儑上海儑儑肉松面包 1004 提拉米苏 906 肉松起酥面包 798 年轮蛋糕 693 蟹派 570 乳酪蛋糕 542 蛋挞 530 三明治 509 超软蛋糕 326 芝士条 299 蛋糕吐司 280 年轮 243 花生球 222 丹麦土司 217 cheese 200 布朗尼 200 蛋塔 186 cake 119 肉松杯 94 汤种 55 脆皮裸麦面包 19 蛋糕 19 脆皮裸麦 18 黑钻面包 18 小金砖 16 儑儑儑乀美食乀 乀面包甜点乀 乀面包乀儑儑儑儑儑儑儑儑儑儑"	""	""	"0"	"15150"	"0"	"0"	"0"	"0"	"240"	"0"	"0"	"0"	"0"	"5"	"供应早餐,1019|随便吃吃,958|休闲小憩,79|可以刷卡,61|情侣约会,43|是老字号,19|朋友聚餐,16|面包甜点,9|家庭聚会,8|早餐,6|"	"肉松面包,1004|提拉米苏,906|肉松起酥面包,798|年轮蛋糕,693|蟹派,570|乳酪蛋糕,542|蛋挞,530|三明治,509|超软蛋糕,326|芝士条,299|蛋糕吐司,280|年轮,243|花生球,222|丹麦土司,217|cheese,200|布朗尼,200|蛋塔,186|CAKE,119|肉松杯,94|汤种,55|脆皮裸麦面包,19|蛋糕,19|脆皮裸麦,18|黑钻面包,18|小金砖,16|"	"肉松面包儑提拉米苏儑肉松起酥面包儑年轮蛋糕儑蟹派儑乳酪蛋糕儑蛋挞儑三明治儑超软蛋糕儑芝士条儑蛋糕吐司儑年轮儑花生球儑丹麦土司儑cheese儑布朗尼儑蛋塔儑CAKE儑肉松杯儑汤种儑脆皮裸麦面包儑蛋糕儑脆皮裸麦儑黑钻面包儑小金砖儑"	"供应早餐 随便吃吃 休闲小憩 可以刷卡 情侣约会 是老字号 朋友聚餐 面包甜点 家庭聚会 早餐"	"6100"	"5051"	"1724"	"134"	"585"	"14"	"15"	"15"	"12"	"0"	"17"	"17"	"0"	"1"	"330988"	"43"	"772"	"20"	"300"	"0"	"0"	""	""	""	""	"0"	"2013-07-10 10:27:02"	"2011-07-03 15:34:23"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	"0"	""	"乀美食乀 乀面包甜点乀 乀面包乀"	"0"	"0"	"0"	"克莉丝汀"	"2013-07-11 10:27:02"	""	"0"	""	"117 10 240"	""	"1"	"0"	""	"面包"	"2"	"117 10 240"	"0"	"0"	""	""	"多家连锁店"	""	""	""	"360:360"	"0:0"	"0:0"	"0:0"	"0.3006993"	"1.0"	"0.6"	"0.18041958"	"供应早餐 随便吃吃 休闲小憩 可以刷卡 情侣约会 是老字号 朋友聚餐 面包甜点 家庭聚会 早餐"	"1019 958 79 61 43 19 16 9 8 6"	"2218"	"肉松面包 提拉米苏 肉松起酥面包 年轮蛋糕 蟹派 乳酪蛋糕 蛋挞 三明治 超软蛋糕 芝士条 蛋糕吐司 年轮 花生球 丹麦土司 cheese 布朗尼 蛋塔 CAKE 肉松杯 汤种 脆皮裸麦面包 蛋糕 脆皮裸麦 黑钻面包 小金砖"	"1004 906 798 693 570 542 530 509 326 299 280 243 222 217 200 200 186 119 94 55 19 19 18 18 16"	"8083"	"0"	"0"	"0"	"test测试"	"0"	"10:12 20:11"	"0"
"503286"	"503286"	"1"	"10"	"可以刷卡"	"2004-05-09 10:42"	"元祖月饼免费品尝啦！"	"0"	""	""	"14"	"1"	"0"	"0"	"0"	"0"	"-0.246667"	"1"	"http://i3.dpfile.com/2009-10-02/2831159_s.jpg"	"1"	""	"元祖"	"元祖"	""	"多家连锁店"	""	"Ganso"	"503286儑元祖儑元祖儑元祖儑元祖儑元祖儑元祖儑ganso儑ganso儑ganso儑ganso儑ganso儑ganso儑儑儑多家连锁店儑儑儑儑可以刷卡儑随便吃吃儑休闲小憩儑是老字号儑有下午茶儑朋友聚餐儑情侣约会儑可送外卖儑儑可以刷卡儑上海儑儑雪月饼 208 much蛋糕 115 慕司蛋糕 75 铜锣烧 62 糯米团子 50 cheese 35 冰激凌月饼 33 泡芙 33 凤梨酥 25 水果蛋糕 23 蛋黄酥 21 鲜奶蛋糕 20 慕思蛋糕 18 蛋糕 18 雪露 17 星空雪月饼 15 青团 14 咖啡泡芙 10 慕丝蛋糕 8 cake 5 大福 3 巧克力蛋糕 3 红豆大福 3 优酪球 2 冰激凌蛋糕 2 儑儑儑乀美食乀 乀面包甜点乀 乀西式甜点乀儑儑儑儑儑儑儑儑儑 优惠券 儑"	""	""	"0"	"11744"	"193736"	"0"	"0"	"0"	"242"	"0"	"0"	"0"	"0"	"5"	"可以刷卡,37|随便吃吃,21|休闲小憩,10|是老字号,5|有下午茶,3|朋友聚餐,3|情侣约会,3|可送外卖,2|"	"雪月饼,208|much蛋糕,115|慕司蛋糕,75|铜锣烧,62|糯米团子,50|cheese,35|冰激凌月饼,33|泡芙,33|凤梨酥,25|水果蛋糕,23|蛋黄酥,21|鲜奶蛋糕,20|慕思蛋糕,18|蛋糕,18|雪露,17|星空雪月饼,15|青团,14|咖啡泡芙,10|慕丝蛋糕,8|cake,5|大福,3|巧克力蛋糕,3|红豆大福,3|优酪球,2|冰激凌蛋糕,2|"	"雪月饼儑much蛋糕儑慕司蛋糕儑铜锣烧儑糯米团子儑cheese儑冰激凌月饼儑泡芙儑凤梨酥儑水果蛋糕儑蛋黄酥儑鲜奶蛋糕儑慕思蛋糕儑蛋糕儑雪露儑星空雪月饼儑青团儑咖啡泡芙儑慕丝蛋糕儑cake儑大福儑巧克力蛋糕儑红豆大福儑优酪球儑冰激凌蛋糕儑"	"可以刷卡 随便吃吃 休闲小憩 是老字号 有下午茶 朋友聚餐 情侣约会 可送外卖"	"877"	"833"	"315"	"36"	"70"	"16"	"17"	"16"	"14"	"0"	"28"	"28"	"0"	"2"	"89269"	"99"	"1289"	"30"	"300"	"1"	"1"	""	"1"	""	""	"0"	"2013-07-10 10:27:02"	"2011-05-05 12:54:10"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	"0"	""	"乀美食乀 乀面包甜点乀 乀西式甜点乀"	"0"	"0"	"0"	"元祖"	"2013-07-11 10:27:02"	""	"0"	""	"117 10 242"	""	"1"	"0"	""	"西式甜点"	"4"	"117 10 242"	"0"	"0"	""	""	"多家连锁店"	""	""	""	"360:360"	"0:0"	"0:0"	"0:0"	"0.49748743"	"1.0"	"0.8"	"0.39798996"	"可以刷卡 随便吃吃 休闲小憩 是老字号 有下午茶 朋友聚餐 情侣约会 可送外卖"	"37 21 10 5 3 3 3 2"	"84"	"雪月饼 much蛋糕 慕司蛋糕 铜锣烧 糯米团子 cheese 冰激凌月饼 泡芙 凤梨酥 水果蛋糕 蛋黄酥 鲜奶蛋糕 慕思蛋糕 蛋糕 雪露 星空雪月饼 青团 咖啡泡芙 慕丝蛋糕 cake 大福 巧克力蛋糕 红豆大福 优酪球 冰激凌蛋糕"	"208 115 75 62 50 35 33 33 25 23 21 20 18 18 17 15 14 10 8 5 3 3 3 2 2"	"818"	"0"	"0"	"0"	"test测试"	"0"	"10:12 20:11"	"0"
"503833"	"503833"	"1"	"10"	"可送外卖"	"2004-08-12 13:17"	""	"0"	""	""	"13"	"0"	"0"	"0"	"0"	"0"	"-0.439024"	"0"	"http://i1.dpfile.com/2009-03-16/1723257_s.jpg"	"1"	""	"池上便当"	"池上便当"	""	"多家连锁店"	""	""	"503833儑池上便当儑池上便当儑池上便当儑池上便当儑池上便当儑池上便当儑儑儑儑儑儑儑儑儑多家连锁店儑儑儑儑可送外卖儑随便吃吃儑朋友聚餐儑休闲小憩儑情侣约会儑商务宴请儑儑可送外卖儑上海儑儑脆皮鸡腿饭 95 鸡腿饭 91 鲁肉饭 56 招牌饭 55 皇品叉烧饭 30 鲁味肉燥饭 27 巧口排骨饭 24 黑胡椒猪排饭 20 鸡排饭 17 儑儑儑乀美食乀 乀小吃快餐乀 乀快餐简餐乀儑儑儑儑儑儑儑儑儑儑"	""	""	"0"	"12063"	"0"	"0"	"0"	"0"	"210"	"0"	"0"	"0"	"0"	"5"	"可送外卖,191|随便吃吃,23|朋友聚餐,6|休闲小憩,5|情侣约会,2|商务宴请,2|"	"脆皮鸡腿饭,95|鸡腿饭,91|鲁肉饭,56|招牌饭,55|皇品叉烧饭,30|鲁味肉燥饭,27|巧口排骨饭,24|黑胡椒猪排饭,20|鸡排饭,17|"	"脆皮鸡腿饭儑鸡腿饭儑鲁肉饭儑招牌饭儑皇品叉烧饭儑鲁味肉燥饭儑巧口排骨饭儑黑胡椒猪排饭儑鸡排饭儑"	"可送外卖 随便吃吃 朋友聚餐 休闲小憩 情侣约会 商务宴请"	"474"	"442"	"34"	"35"	"15"	"12"	"13"	"11"	"12"	"0"	"13"	"13"	"0"	"1"	"114508"	"91"	"465"	"20"	"300"	"0"	"0"	""	""	""	""	"0"	"2013-07-10 10:27:02"	"2011-04-06 10:43:14"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	"0"	""	"乀美食乀 乀小吃快餐乀 乀快餐简餐乀"	"0"	"0"	"0"	"池上便当"	"2013-07-11 10:27:02"	""	"0"	""	"10 210 112"	""	"1"	"0"	""	"快餐简餐"	"4"	"10 210 112"	"0"	"0"	""	""	"多家连锁店"	""	""	""	"360:360"	"0:0"	"0:0"	"0:0"	"0.4764398"	"1.0"	"0.6"	"0.2858639"	"可送外卖 随便吃吃 朋友聚餐 休闲小憩 情侣约会 商务宴请"	"191 23 6 5 2 2"	"229"	"脆皮鸡腿饭 鸡腿饭 鲁肉饭 招牌饭 皇品叉烧饭 鲁味肉燥饭 巧口排骨饭 黑胡椒猪排饭 鸡排饭"	"95 91 56 55 30 27 24 20 17"	"415"	"0"	"0"	"0"	"test测试"	"0"	"10:12 20:11"	"0"
"566481"	"566481"	"1"	"20"	"便利店"	"2005-11-15 12:30"	""	"0"	""	""	"818"	"35"	"0"	"0"	"0"	"0"	"0.508371"	"35"	"http://i1.dpfile.com/2009-05-25/2076255_s.jpg"	"1"	""	"全家便利店"	"全家便利店"	""	"多家连锁店"	""	"Family Mart"	"566481儑全家便利店儑全家便利店儑全家便利店儑全家便利店儑全家便利店儑全家便利店儑familymart儑family mart儑family mart儑family mart儑family mart儑family mart儑儑儑多家连锁店儑儑62723187儑儑便利店儑24小时儑关东煮儑供应早餐儑便当儑饭团儑早餐儑三明治儑大口饭团儑布丁儑儑便利店儑上海儑儑关东煮 935 便当 611 寿司 540 饭团 416 豆浆 364 三明治 360 香芋包 294 面包 268 大口饭团 237 布丁 204 便利店 70 牛奶豆腐 68 麻薯 47 抹茶豆腐 46 金枪鱼饭团 40 24小时 27 三丁包 17 供应早餐 17 包子 14 元气面包 6 早餐 6 千层糕 5 魔芋丝 5 叉烧包 4 奥尔良鸡腿包 4 儑儑儑乀购物乀 乀超市便利店乀儑超市儑便利店儑儑乀购物乀 乀食品茶酒乀儑儑儑儑儑儑儑儑儑"	"62723187"	""	"0"	"75713"	"0"	"0"	"0"	"0"	"187"	"184"	"0"	"0"	"0"	"5"	"便利店,1444|24小时,572|关东煮,546|供应早餐,391|便当,320|饭团,293|早餐,208|三明治,166|大口饭团,106|布丁,94|"	"关东煮,935|便当,611|寿司,540|饭团,416|豆浆,364|三明治,360|香芋包,294|面包,268|大口饭团,237|布丁,204|便利店,70|牛奶豆腐,68|麻薯,47|抹茶豆腐,46|金枪鱼饭团,40|24小时,27|三丁包,17|供应早餐,17|包子,14|元气面包,6|早餐,6|千层糕,5|魔芋丝,5|叉烧包,4|奥尔良鸡腿包,4|"	"关东煮儑便当儑寿司儑饭团儑豆浆儑三明治儑香芋包儑面包儑大口饭团儑布丁儑便利店儑牛奶豆腐儑麻薯儑抹茶豆腐儑金枪鱼饭团儑24小时儑三丁包儑供应早餐儑包子儑元气面包儑早餐儑千层糕儑魔芋丝儑叉烧包儑奥尔良鸡腿包儑"	"便利店 24小时 关东煮 供应早餐 便当 饭团 早餐 三明治 大口饭团 布丁"	"5507"	"4364"	"2727"	"273"	"719"	"26"	"27"	"26"	"26"	"0"	"17"	"17"	"0"	"1"	"184927"	"295"	"2085"	"50"	"300"	"0"	"0"	""	""	""	""	"0"	"2013-07-10 10:27:02"	"2011-06-25 21:30:21"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	"0"	""	"乀购物乀 乀超市便利店乀儑超市儑便利店儑乀购物乀 乀食品茶酒乀"	"0"	"0"	"0"	"全家便利店"	"2013-07-11 10:27:02"	""	"0"	""	"20 184  20 187"	""	"1"	"0"	""	"超市/便利店"	"6"	"20 187"	"0"	"0"	""	""	"多家连锁店"	""	""	"62723187"	"360:360"	"0:0"	"0:0"	"0:0"	"0.7468355"	"1.0"	"1.0"	"0.7468355"	"便利店 24小时 关东煮 供应早餐 便当 饭团 早餐 三明治 大口饭团 布丁"	"1444 572 546 391 320 293 208 166 106 94"	"4140"	"关东煮 便当 寿司 饭团 豆浆 三明治 香芋包 面包 大口饭团 布丁 便利店 牛奶豆腐 麻薯 抹茶豆腐 金枪鱼饭团 24小时 三丁包 供应早餐 包子 元气面包 早餐 千层糕 魔芋丝 叉烧包 奥尔良鸡腿包"	"935 611 540 416 364 360 294 268 237 204 70 68 47 46 40 27 17 17 14 6 6 5 5 4 4"	"4605"	"0"	"0"	"0"	"test测试"	"0"	"10:12 20:11"	"0"
"1798051"	"1798051"	"1"	"80"	"干洗店"	"2006-04-07 14:29"	""	"0"	""	""	"1"	"0"	"0"	"0"	"0"	"0"	"-0.863636"	"0"	"http://i1.dpfile.com/2009-12-26/3411375_s.jpg"	"1"	""	"福奈特洗衣店"	"福奈特洗衣店"	""	"多家连锁店"	""	"FORNET"	"1798051儑福奈特洗衣店儑福奈特洗衣店儑福奈特洗衣店儑福奈特洗衣店儑福奈特洗衣店儑福奈特洗衣店儑fornet儑fornet儑fornet儑fornet儑fornet儑fornet儑儑儑多家连锁店儑儑儑儑干洗店儑福奈特儑洗衣店儑干洗儑儑干洗店儑上海儑儑儑儑儑乀生活服务乀 乀更多生活服务乀儑儑儑儑儑儑儑儑儑儑"	""	""	"0"	"1919866"	"0"	"0"	"0"	"0"	"26491"	"0"	"0"	"0"	"0"	"5"	"干洗店,29|福奈特,11|洗衣店,8|干洗,6|"	""	""	"干洗店 福奈特 洗衣店 干洗"	"79"	"44"	"11"	"2"	"51"	"6"	"0"	"0"	"0"	"0"	"97"	"97"	"1"	"4"	"22568"	"54"	"230"	"20"	"300"	"0"	"0"	""	""	""	""	"0"	"2013-07-10 10:27:02"	"2010-09-13 15:06:54"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	"0"	""	"乀生活服务乀 乀更多生活服务乀"	"0"	"0"	"0"	"福奈特洗衣店"	"2013-07-11 10:27:02"	""	"0"	""	"26491 80"	""	"1"	"0"	""	"更多生活服务"	"6"	"26491 80"	"0"	"0"	""	""	"多家连锁店"	""	""	""	"360:360"	"0:0"	"0:0"	"0:0"	"0.35064936"	"1.0"	"0.6"	"0.21038963"	"干洗店 福奈特 洗衣店 干洗"	"29 11 8 6"	"54"	""	""	"0"	"0"	"0"	"0"	"test测试"	"0"	"10:12 20:11"	"0"
"1798471"	"1798471"	"1"	"80"	"家政"	"2006-04-07 14:29"	""	"0"	""	""	"0"	"0"	"0"	"0"	"0"	"0"	"-1"	"0"	""	"0"	""	"知音洗衣连锁"	"知音洗衣连锁"	""	"全市多家营业点"	""	""	"1798471儑知音洗衣连锁儑知音洗衣连锁儑知音洗衣连锁儑知音洗衣连锁儑知音洗衣连锁儑知音洗衣连锁儑儑儑儑儑儑儑儑儑全市多家营业点儑儑儑儑家政儑儑家政儑上海儑儑儑儑儑乀生活服务乀 乀更多生活服务乀儑儑儑儑儑儑儑儑儑儑"	""	""	"0"	"1798471"	"0"	"0"	"0"	"0"	"26491"	"0"	"0"	"0"	"0"	"5"	"家政,2"	""	""	"家政"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"999999"	"0"	"0"	"436"	"0"	"14"	"0"	"300"	"0"	"0"	""	""	""	""	"0"	"2013-07-10 10:27:02"	"2010-06-22 17:39:37"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	"0"	""	"乀生活服务乀 乀更多生活服务乀"	"0"	"0"	"0"	"知音洗衣连锁"	"2013-07-11 10:27:02"	""	"0"	""	"26491 80"	""	"1"	"0"	""	"更多生活服务"	"6"	"26491 80"	"0"	"0"	""	""	"全市多家营业点"	""	""	""	"360:360"	"0:0"	"0:0"	"0:0"	"0.0"	"1.0"	"0.5"	"0.0"	"家政"	"2"	"2"	""	""	"0"	"0"	"0"	"0"	"test测试"	"0"	"10:12 20:11"	"0"
"1860871"	"1860871"	"1"	"20"	"便利店"	"2006-04-08 14:23"	""	"0"	""	""	"3"	"0"	"0"	"0"	"0"	"0"	"-0.721739"	"0"	"http://i2.dpfile.com/2010-02-03/3663586_s.jpg"	"1"	""	"良友金伴"	"良友金伴"	""	"多家连锁店"	""	"Buddies"	"1860871儑良友金伴儑良友金伴儑良友金伴儑良友金伴儑良友金伴儑良友金伴儑buddies儑buddies儑buddies儑buddies儑buddies儑buddies儑儑儑多家连锁店儑儑儑儑便利店儑超市儑面包儑儑便利店儑上海儑儑便利店 8 面包 5 儑儑儑乀购物乀 乀超市便利店乀儑超市儑便利店儑儑儑儑儑儑儑儑儑儑儑"	""	""	"0"	"1860871"	"0"	"0"	"0"	"0"	"187"	"0"	"0"	"0"	"0"	"5"	"便利店,125|超市,47|面包,8|"	"便利店,8|面包,5|"	"便利店儑面包儑"	"便利店 超市 面包"	"328"	"290"	"141"	"7"	"517"	"12"	"13"	"12"	"12"	"0"	"13"	"13"	"1"	"1"	"8610"	"6"	"36"	"20"	"300"	"0"	"0"	""	""	""	""	"0"	"2013-07-10 10:27:02"	"2011-01-31 19:10:19"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	"0"	""	"乀购物乀 乀超市便利店乀儑超市儑便利店儑"	"0"	"0"	"0"	"良友金伴"	"2013-07-11 10:27:02"	""	"0"	""	"20 187"	""	"1"	"0"	""	"超市/便利店"	"6"	"20 187"	"0"	"0"	""	""	"多家连锁店"	""	""	""	"360:360"	"0:0"	"0:0"	"0:0"	"0.056603774"	"1.0"	"0.6"	"0.033962265"	"便利店 超市 面包"	"125 47 8"	"180"	"便利店 面包"	"8 5"	"13"	"0"	"0"	"0"	"test测试"	"0"	"10:12 20:11"	"0"
"1883791"	"1883791"	"1"	"80"	"信用卡"	"2006-04-15 22:55"	""	"0"	""	""	"54"	"1"	"0"	"0"	"0"	"0"	"0.0588235"	"0"	"http://i3.dpfile.com/2009-05-10/1999592_s.jpg"	"1"	""	"招商银行"	"招商银行"	""	"多家营业网点"	""	"CMB"	"1883791儑招商银行儑招商银行儑招商银行儑招商银行儑招商银行儑招商银行儑cmb儑cmb儑cmb儑cmb儑cmb儑cmb儑儑儑多家营业网点儑儑95555儑儑信用卡儑可以刷卡儑招行儑网上银行儑银行儑在线支付儑儑信用卡儑上海儑儑儑儑儑乀生活服务乀 乀银行乀儑儑儑儑儑儑儑儑儑儑"	"95555"	""	"0"	"1883791"	"0"	"0"	"0"	"0"	"237"	"0"	"0"	"0"	"0"	"5"	"信用卡,662|可以刷卡,580|招行,409|网上银行,338|银行,244|在线支付,149|"	""	""	"信用卡 可以刷卡 招行 网上银行 银行 在线支付"	"1314"	"1179"	"235"	"18"	"87"	"13"	"0"	"0"	"0"	"0"	"2577"	"2577"	"1"	"6"	"36232"	"5"	"54"	"35"	"300"	"0"	"0"	""	""	""	""	"0"	"2013-07-10 10:27:02"	"2011-05-06 09:36:21"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	"0"	""	"乀生活服务乀 乀银行乀"	"0"	"0"	"0"	"招商银行"	"2013-07-11 10:27:02"	""	"0"	""	"80 237"	""	"1"	"0"	""	"银行"	"2"	"80 237"	"0"	"0"	""	""	"多家营业网点"	""	""	"95555"	"360:360"	"0:0"	"0:0"	"0:0"	"0.04761905"	"1.0"	"0.8"	"0.03809524"	"信用卡 可以刷卡 招行 网上银行 银行 在线支付"	"662 580 409 338 244 149"	"2382"	""	""	"0"	"0"	"0"	"0"	"test测试"	"0"	"10:12 20:11"	"0"
"1883803"	"1883803"	"1"	"80"	"银行"	"2006-04-15 22:56"	""	"0"	""	""	"67"	"2"	"0"	"0"	"0"	"0"	"-0.471795"	"0"	"http://i3.dpfile.com/2010-05-01/4203512_s.jpg"	"1"	""	"中国银行"	"中国银行"	""	"多家营业网点"	""	"BOC"	"1883803儑中国银行儑中国银行儑中国银行儑中国银行儑中国银行儑中国银行儑boc儑boc儑boc儑boc儑boc儑boc儑儑儑多家营业网点儑儑95566儑8008205288儑中国银行儑银行儑可以刷卡儑信用卡儑中行儑外汇儑jcb儑儑银行儑上海儑儑儑儑儑乀生活服务乀 乀银行乀儑儑儑儑儑儑儑儑儑儑"	"95566"	"8008205288"	"0"	"1883803"	"0"	"0"	"0"	"0"	"237"	"0"	"0"	"0"	"0"	"5"	"中国银行,172|银行,163|可以刷卡,83|信用卡,79|中行,27|外汇,17|JCB,5|"	""	""	"中国银行 银行 可以刷卡 信用卡 中行 外汇 JCB"	"491"	"446"	"152"	"11"	"236"	"5"	"0"	"0"	"0"	"0"	"2817"	"2817"	"1"	"6"	"14653"	"7"	"24"	"20"	"300"	"0"	"0"	""	""	""	""	"0"	"2013-07-10 10:27:02"	"2011-02-09 10:36:24"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	"0"	""	"乀生活服务乀 乀银行乀"	"0"	"0"	"0"	"中国银行"	"2013-07-11 10:27:02"	""	"0"	""	"80 237"	""	"1"	"0"	""	"银行"	"2"	"80 237"	"0"	"0"	""	""	"多家营业网点"	""	""	"95566 8008205288"	"360:360"	"0:0"	"0:0"	"0:0"	"0.06542056"	"1.0"	"0.6"	"0.039252337"	"中国银行 银行 可以刷卡 信用卡 中行 外汇 JCB"	"172 163 83 79 27 17 5"	"546"	""	""	"0"	"0"	"0"	"0"	"test测试"	"0"	"10:12 20:11"	"0"
"1883806"	"1883806"	"1"	"80"	"信用卡"	"2006-04-15 22:59"	""	"0"	""	""	"19"	"1"	"0"	"0"	"0"	"0"	"-0.13089"	"0"	"http://i3.dpfile.com/2009-11-12/3133925_s.jpg"	"1"	""	"浦发银行"	"浦发银行"	""	"多处营业网点"	""	"SPDB"	"1883806儑浦发银行儑浦发银行儑浦发银行儑浦发银行儑浦发银行儑浦发银行儑spdb儑spdb儑spdb儑spdb儑spdb儑spdb儑儑儑多处营业网点儑儑95528儑61618888儑信用卡儑可以刷卡儑浦发儑银行儑跨行取款免费儑免费异汇儑儑信用卡儑上海儑儑儑儑儑乀生活服务乀 乀银行乀儑儑儑儑儑儑儑儑儑儑"	"95528"	"61618888"	"0"	"1883806"	"0"	"0"	"0"	"0"	"237"	"0"	"0"	"0"	"0"	"5"	"信用卡,220|可以刷卡,196|浦发,192|银行,164|跨行取款免費,40|免费异汇,24|"	""	""	"信用卡 可以刷卡 浦发 银行 跨行取款免費 免费异汇"	"614"	"554"	"135"	"12"	"142"	"11"	"0"	"0"	"0"	"0"	"9620"	"9620"	"1"	"6"	"24057"	"3"	"48"	"35"	"300"	"0"	"0"	""	""	""	""	"0"	"2013-07-10 10:27:02"	"2011-04-14 21:46:11"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	"0"	""	"乀生活服务乀 乀银行乀"	"0"	"0"	"0"	"浦发银行"	"2013-07-11 10:27:02"	""	"0"	""	"80 237"	""	"1"	"0"	""	"银行"	"2"	"80 237"	"0"	"0"	""	""	"多处营业网点"	""	""	"95528 61618888"	"360:360"	"0:0"	"0:0"	"0:0"	"0.029126214"	"1.0"	"0.8"	"0.023300972"	"信用卡 可以刷卡 浦发 银行 跨行取款免費 免费异汇"	"220 196 192 164 40 24"	"836"	""	""	"0"	"0"	"0"	"0"	"test测试"	"0"	"10:12 20:11"	"0"
